,firm_id,firm_name,codex_category,country,city,year_founded,market,problem_1,problem_2,problem_3,analytics,ai,point_integrated,company_url,other_link,comments 
0,FIRM0002,LexisNexis,Legal Research,USA,New York,1973,Corporate,Legal Research,Other Practice Tech,NONE,1,0,Integrated Solution,https://www.lexisnexis.com/en-us/gateway.page,,LexisNexis started out as a legal research company that has expanded offering into PracticeTech
1,FIRM0003,Korbitec,Legal Document Automation,South Africa,Cape Town,1976,Corporate,Contracts,Other Practice Tech,NONE,1,0,Integrated Solution,https://www.lexisnexis.co.za/,https://www.linkedin.com/company/korbitec/?originalSubdomain=au,Korbitec was acquired by LexisNexis.
2,FIRM0014,Microsystems,Legal Document Automation,USA,Illinois,1995,Corporate,Contracts,KM,LitTech ,1,0,Integrated Solution,https://www.litera.com/products/legal/,https://www.linkedin.com/company/microsystems/,Microsoftsystems became Litera Microsystems in 2018 after its private equity shareholder acquired Litera and Sackett Group
3,FIRM0015,WorkProducts,Legal Practice Management,USA,Virginia,1995,Corporate,eDiscovery,Other Practice Tech,NONE,0,0,Point Solution,http://www.workproducts.com/#,https://www.businesswire.com/news/home/20090720005730/en/Microsoft-WorkProducts-Partner-Deliver-MatterSpace-ELM-eDiscovery,
4,FIRM0021,LiveOffice,Legal Practice Management,USA,California,1998,Corporate,KM,eDiscovery,NONE,0,0,Point Solution,https://www.crunchbase.com/organization/liveoffice#section-overview,https://www.computerworld.com/article/2501427/cloud-computing/symantec-acquires-cloud-storage-vendor-liveoffice.html,Cloud-based data archiving and storage
5,FIRM0022,vLex,Legal Research,Spain,Barcelona,1998,Corporate,Legal Research,KM,NONE,1,1,Point Solution,https://vlex.com/,,
6,FIRM0025,LegalZoom,Legal Document Automation,USA,California,1999,Consumer,Contracts,Peak Load / Staffing,NONE,0,0,Point Solution,https://www.legalzoom.com/country/au,,LegalZoom also provides incorporation and trademark services for corporations (SME market)
7,FIRM0027,Workshare,Legal Analytics,UK,London,1999,Corporate,Contracts,Legal Research,NONE,0,0,Point Solution,https://www.workshare.com/,https://www.workshare.com/product,"Workshare's platform help compare, protect and share legal documents. Help track and compare amendments."
8,FIRM0028,Exari Systems,Legal Document Automation,Australia,Melbourne,1999,Corporate,Contracts,Other Practice Tech,NONE,1,0,Integrated Solution,https://www.exari.com/,,Exari provides contract management solution and also analytics of contract
9,FIRM0030,Axiom,Legal Marketplace,USA,New York,2000,Corporate,Peak Load / Staffing,DealTech,RegTech,1,0,Integrated Solution,https://www.axiomlaw.com/,https://www.axiomlaw.com/solutions/diligence-integration-support,
10,FIRM0031,Catalyst Repository Systems,E-Discovery,USA,Denvar,2000,Corporate,eDiscovery,Legal Ops,NONE,1,0,Integrated Solution,https://catalystsecure.com/,,
11,FIRM0036,RealPractice,Legal Practice Management,USA,California,2000,Corporate,Contracts,LitTech ,NONE,0,0,Point Solution,https://www.crunchbase.com/organization/realpractice#section-overview,,Acquired by ReachLocal but can't seem to find RealPractice's solutions on ReachLocal's website.
