,deal_id,deal_date,deal_year,firm_name,firm_id,round_total_raw,round_total,num_investors,avg_invest_per_investor,investor_name,deal_type,country,city,year_founded,codex_category,market,problem_1,problem_2,problem_3,analytics,ai,point_integrated,firm_age
0,DEAL0001,2000-03-22,2000,LexisNexis,FIRM0002,30000000,30000000.0,5,6000000.0,Actua Corporation,Venture Capital,USA,New York,1973,Legal Research,Corporate,Legal Research,Other Practice Tech,NONE,1.0,0.0,Integrated Solution,27
1,DEAL0001,2000-03-22,2000,LexisNexis,FIRM0002,above,30000000.0,5,6000000.0,Commerce One,Venture Capital,USA,New York,1973,Legal Research,Corporate,Legal Research,Other Practice Tech,NONE,1.0,0.0,Integrated Solution,27
2,DEAL0001,2000-03-22,2000,LexisNexis,FIRM0002,above,30000000.0,5,6000000.0,Kaplan,Venture Capital,USA,New York,1973,Legal Research,Corporate,Legal Research,Other Practice Tech,NONE,1.0,0.0,Integrated Solution,27
3,DEAL0001,2000-03-22,2000,LexisNexis,FIRM0002,above,30000000.0,5,6000000.0,Schoolhouse Partners,Venture Capital,USA,New York,1973,Legal Research,Corporate,Legal Research,Other Practice Tech,NONE,1.0,0.0,Integrated Solution,27
4,DEAL0001,2000-03-22,2000,LexisNexis,FIRM0002,above,30000000.0,5,6000000.0,WR Hambrecht,Venture Capital,USA,New York,1973,Legal Research,Corporate,Legal Research,Other Practice Tech,NONE,1.0,0.0,Integrated Solution,27
5,DEAL0002,2002-10-03,2002,Workshare,FIRM0027,4500000,4500000.0,1,4500000.0,Quester Capital,Series A,UK,London,1999,Legal Analytics,Corporate,Contracts,Legal Research,NONE,0.0,0.0,Point Solution,3
6,DEAL0004,2003-10-01,2003,XMLAW,FIRM0051,150000,150000.0,1,150000.0,undisclosed,Seed Fund,USA,Boston,2003,Legal Practice Management,Corporate,Contracts,Other Practice Tech,NONE,0.0,0.0,Integrated Solution,0
7,DEAL0006,2004-06-14,2004,DocuSign,FIRM0045,4600000,4600000.0,2,2300000.0,Frazier Technology Ventures,Series A,USA,San Francisco,2003,Legal Practice Management,Corporate,Contracts,Other Practice Tech,NONE,0.0,0.0,Point Solution,1
8,DEAL0006,2004-06-14,2004,DocuSign,FIRM0045,above,4600000.0,2,2300000.0,Ignition Partners,Series A,USA,San Francisco,2003,Legal Practice Management,Corporate,Contracts,Other Practice Tech,NONE,0.0,0.0,Point Solution,1
9,DEAL0007,2004-12-27,2004,Brainspace,FIRM0059,1000000,1000000.0,1,1000000.0,undisclosed,Venture Capital,USA,Texas,2005,Legal Document Automation,Corporate,eDiscovery,NONE,NONE,1.0,0.0,Point Solution,0
10,DEAL0008,2005-06-30,2005,DocuSign,FIRM0045,1500000,1500000.0,2,750000.0,Frazier Technology Ventures,Venture Capital,USA,San Francisco,2003,Legal Practice Management,Corporate,Contracts,Other Practice Tech,NONE,0.0,0.0,Point Solution,2
11,DEAL0008,2005-06-30,2005,DocuSign,FIRM0045,above,1500000.0,2,750000.0,Ignition Partners,Series A,USA,San Francisco,2003,Legal Practice Management,Corporate,Contracts,Other Practice Tech,NONE,0.0,0.0,Point Solution,2
12,DEAL0009,2005-10-01,2005,EchoSign (now Adobe eSign),FIRM0060,2500000,2500000.0,1,2500000.0,Storm Ventures,Series A,USA,Palo Alto,2005,Legal Document Automation,Corporate,Contracts,NONE,NONE,0.0,0.0,Point Solution,0
13,DEAL0010,2006-01-01,2006,Avvo,FIRM0066,3000000,3000000.0,1,3000000.0,Berney Harford,Series A,USA,Seattle,2006,Legal Marketplace,Consumer,Peak Load / Staffing,Contracts,NONE,0.0,0.0,Point Solution,0
14,DEAL0011,2006-01-23,2006,RiverGlass,FIRM0050,150000,150000.0,1,150000.0,undisclosed,Grant,USA,Illinois,2003,Legal Analytics,Corporate,eDiscovery,Other Practice Tech,NONE,1.0,0.0,Point Solution,3
15,DEAL0012,2006-04-01,2006,DocuSign,FIRM0045,10000000,10000000.0,3,3333333.3333333335,Frazier Technology Ventures,Series B,USA,San Francisco,2003,Legal Practice Management,Corporate,Contracts,Other Practice Tech,NONE,0.0,0.0,Point Solution,3
16,DEAL0012,2006-04-01,2006,DocuSign,FIRM0045,above,10000000.0,3,3333333.3333333335,Ignition Partners,Series B,USA,San Francisco,2003,Legal Practice Management,Corporate,Contracts,Other Practice Tech,NONE,0.0,0.0,Point Solution,3
17,DEAL0012,2006-04-01,2006,DocuSign,FIRM0045,above,10000000.0,3,3333333.3333333335,Sigma Partners,Series B,USA,San Francisco,2003,Legal Practice Management,Corporate,Contracts,Other Practice Tech,NONE,0.0,0.0,Point Solution,3
